app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,steam_deck
1469280,SuchArt: Creative Space,21/01/2021,TRUE,FALSE,FALSE,Overwhelmingly Positive,98,6127,0,TRUE
247310,Gravi,08/10/2013,TRUE,FALSE,FALSE,Mixed,50,14,4.99,TRUE
525037,Watch_Dogs® 2 - Guts Grit and Liberty Pack,28/11/2016,TRUE,FALSE,FALSE,Positive,81,16,2.99,TRUE
1607310,汽车帝国,13/08/2021,TRUE,FALSE,FALSE,Mixed,47,70,9.99,TRUE
2207050,My Soul Forever,21/11/2022,TRUE,FALSE,FALSE,Positive,93,16,8.74,TRUE
633940,Vision Origin,19/05/2017,TRUE,FALSE,FALSE,Mixed,61,18,19.99,TRUE
557680,Germ Wars,21/11/2016,TRUE,FALSE,FALSE,Mixed,56,25,1.99,TRUE
576750,Ropes And Dragons VR,21/04/2017,TRUE,FALSE,FALSE,Positive,82,29,0.99,TRUE
1706810,ARC Alien Raid Combat,06/10/2021,TRUE,FALSE,FALSE,Mostly Positive,76,21,0.99,TRUE
660290,Dungeons & Geese,04/08/2017,TRUE,FALSE,FALSE,Mixed,69,33,0.99,TRUE
328710,One Last Day,28/04/2015,TRUE,TRUE,FALSE,Mixed,57,87,12.99,TRUE
1906570,The Art of War: Card Game,01/02/2023,TRUE,TRUE,TRUE,Positive,86,22,0,TRUE
324020,Alien: Isolation - Season Pass,10/02/2015,TRUE,TRUE,TRUE,Mixed,59,42,19.99,TRUE
369720,Moonrise Base Game + Guildmaster's Edition,27/05/2015,TRUE,TRUE,FALSE,Mostly Negative,30,33,0,TRUE
1197520,Familia,01/12/2019,TRUE,TRUE,FALSE,Positive,100,39,0,TRUE
1333270,Crazy Derby Racing,11/09/2021,TRUE,FALSE,FALSE,Positive,100,10,0.49,TRUE
1222360,Cybershoes,12/02/2020,TRUE,FALSE,FALSE,Positive,88,17,0,TRUE
531630,Non-Linear Text Quests,24/07/2018,TRUE,FALSE,TRUE,Mostly Positive,78,37,0,TRUE
222625,Train Simulator: InterCity Class 91 Loco Add-On,26/02/2014,TRUE,FALSE,FALSE,Mostly Positive,70,60,19.99,TRUE
614460,Amber Tail Adventure,05/04/2017,TRUE,FALSE,FALSE,Mostly Positive,78,47,0.28,TRUE
1471470,Tales of Lagoona,16/12/2020,TRUE,FALSE,FALSE,Positive,90,11,7.99,TRUE
1758450,狂神无双,10/11/2021,TRUE,FALSE,FALSE,Very Positive,92,199,0,TRUE
614660,Magic Technology,29/01/2018,TRUE,FALSE,FALSE,Mixed,61,18,2.99,TRUE
1431150,LongPath,15/10/2020,TRUE,FALSE,FALSE,Positive,84,13,1.99,TRUE
821820,Farmer's Fairy Tale,30/05/2021,TRUE,FALSE,FALSE,Mixed,52,25,29.99,TRUE
853330,N.I.C.E. 2,02/04/2020,TRUE,FALSE,FALSE,Mixed,61,13,9.99,TRUE
855020,Marie's Room - Soundtrack,30/04/2018,FALSE,FALSE,FALSE,Very Positive,97,71,0,TRUE
569610,Distant Space,20/12/2016,TRUE,FALSE,FALSE,Mostly Positive,77,300,0.99,TRUE
477950,Simple Spy,05/07/2016,TRUE,TRUE,FALSE,Mostly Positive,78,14,1.99,TRUE
1172050,COCKHEAD,27/09/2020,TRUE,FALSE,FALSE,Mixed,67,568,6.99,TRUE
1236040,Mahasona,20/06/2020,TRUE,FALSE,FALSE,Mostly Positive,71,21,2.99,TRUE
536530,Marlene Betwixt,25/10/2016,TRUE,FALSE,FALSE,Mixed,53,15,3.99,TRUE
251450,Heroes of Havoc: Idle Adventures,15/12/2016,TRUE,TRUE,FALSE,Mixed,40,226,0,TRUE
716950,Dino Scourge,18/12/2017,TRUE,FALSE,FALSE,Mostly Positive,70,20,0,TRUE
